Session,User,Query,Code,Page_number,Ranking_position,c_i,Sum_c,Jaccard Similarity Coeficient,c_i + Jaccard,Sum_(c_i + Jaccard),m_i,gamma_r_ij,p_i,m_i/p_i,log_2 m_i/p_i,H_parcial,H_Total,D_kg,D_kg_round
1_1,USER_1,conceito direito de posse,C2,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,C4,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,SMI1,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,SMI5,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,direito de posse codigo civil,SMI5,1,3,1,1,"0,5","1,5","1,5",1,"0,95","0,95","1,052631579","0,07400058144","0,07030055237","0,07030055237","0,009296994476","0,01"
,,,SMI5,1,1,1,2,"0,5","1,5","1,5",1,"0,55","0,55","1,818181818","0,8624964763","0,4743730619","0,5446736143","0,004553263857","0,005"
,,,SMI8,,,0,2,"0,5","0,5","1,5","0,3333333333",0,0,NA,,,,,
,,,PT3,,,0,2,"0,5","0,5","1,5","0,3333333333",0,0,NA,,,,,
,,,E3,,,0,2,"0,5","0,5","1,5","0,3333333333",0,0,NA,,,,,
,,direito a posse e direito de posse,C7,,,0,2,"0,4285714286","0,4285714286","2,928571429","0,1463414634",0,0,NA,,,,,
,,,SMI5,1,4,1,3,"0,4285714286","1,428571429","2,928571429","0,487804878","0,82","0,82","0,5948839976","-0,7493197246","-0,6144421742","-0,06976855984","0,0106976856","0,01"
,,,SM6,,,0,3,"0,4285714286","0,4285714286","2,928571429","0,1463414634",0,0,NA,,,,,
,,,SMI8,,,0,3,"0,4285714286","0,4285714286","2,928571429","0,1463414634",0,0,NA,,,,,
,,jus possidendi e jus possessionis,C7,,,0,3,"0,125","0,125","4,053571429","0,03083700441",0,0,NA,,,,,
,,,TE1,,,0,3,"0,125","0,125","4,053571429","0,03083700441",0,0,NA,,,,,
,,,SMI5,1,1,1,4,"0,125","1,125","4,053571429","0,2775330396",1,1,"0,2775330396","-1,849268564","-1,849268564","-1,779500004","0,02779500004","0,03"
,,,SM6,,,0,4,"0,125","0,125","4,053571429","0,03083700441",0,0,NA,,,,,
,,,SMI8,,,0,4,"0,125","0,125","4,053571429","0,03083700441",0,0,NA,,,,,
,,,SMI7,,,0,4,"0,125","0,125","4,053571429","0,03083700441",0,0,NA,,,,,
,,,C6,,,0,4,"0,125","0,125","4,053571429","0,03083700441",0,0,NA,,,,,
,,,SMI5,,,0,4,"0,125","0,125","4,053571429","0,03083700441",0,0,NA,,,,,
,,jus possidendi e jus possessionis conceito,SMI5,1,2,1,5,"0,8","1,8","5,853571429","0,307504576",1,1,"0,307504576","-1,701320216","-1,701320216","-3,48082022","0,0448082022","0,04"
,,,SMI5,1,1,1,6,"0,8","1,8","5,853571429","0,307504576","0,62","0,62","0,4959751225","-1,011660336","-0,6272294085","-4,108049628","0,05108049628","0,05"
,,,SMI6,,,0,6,"0,8","0,8","5,853571429","0,1366687004",0,0,NA,,,,,
,,,SMI7,,,0,6,"0,8","0,8","5,853571429","0,1366687004",0,0,NA,,,,,
,,,PT3,,,0,6,"0,8","0,8","5,853571429","0,1366687004",0,0,NA,,,,,
,,,E1,,,0,6,"0,8","0,8","5,853571429","0,1366687004",0,0,NA,,,,,
,,,E4,,,0,6,"0,8","0,8","5,853571429","0,1366687004",0,0,NA,,,,,
1_2,USER_1,contrato de aluguel venia conjugal,PT1,,,0,0,0,0,1,0,0,0,NA,,,,,
,,,SMI5,1,2,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI6,,,0,1,0,0,1,0,0,0,NA,,,,,
,,lei do inquilinato,TE1,1,1,1,2,0,1,2,"0,5",1,1,"0,5",-1,-1,-1,"0,02","0,02"
,,,SMI6,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,C6,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,SMI5,,,0,2,0,0,2,0,0,0,NA,,,,,
,,lei do inquilinato versão conjugal,PT1,1,2,1,3,"0,6","1,6","3,6","0,4444444444",1,1,"0,4444444444","-1,169925001","-1,169925001","-2,169925001","0,03169925001","0,03"
,,,SMI6,,,0,3,"0,6","0,6","3,6","0,1666666667",0,0,NA,,,,,
,,,E3,,,0,3,"0,6","0,6","3,6","0,1666666667",0,0,NA,,,,,
